Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	4	70	Song	MZ	0	-0.00109133
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1	70	Song	MU	0	-0.00038803
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	4	70	Song	SC	0	-0.00260831
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	10	70	Song	XK	0	-0.00198973
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	195	70	Song	PL	0	-0.07090437
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	77	70	Song	NZ	0	-0.05552608
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	82	70	Song	PT	0	-0.03431119
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	264	70	Song	BR	0	-0.08750514
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	9	70	Song	HK	0	-0.00657153
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	11	70	Song	SI	0	-0.00317251
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	3	70	Song	LK	0	-0.00061623
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	2	70	Song	BA	0	-0.00046076
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	65	70	Song	PH	0	-0.01147959
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	119	70	Song	HU	0	-0.04980449
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	62	70	Song	DK	0	-0.07136675
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	10	70	Song	EE	0	-0.00358237
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	4	70	Song	IS	0	-0.00533949
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	83	70	Song	NO	0	-0.07271981
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	140	70	Song	IT	0	-0.09701651
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	752	70	Song	CA	0	-0.41777931
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	25	70	Song	IE	0	-0.02075122
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	8	70	Song	MK	0	-0.00443748
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	417	70	Song	FR	0	-0.31174416
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	182	70	Song	GR	0	-0.09561138
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	115	70	Song	TR	0	-0.01414440
